Wall time,Step,Value
1574810854.8261445,167,2.2505762577056885
1574810860.1395285,474,1.8090192079544067
1574810861.2920666,536,1.8836216926574707
1574810861.8062322,586,1.7797173261642456
1574810891.6677845,2307,1.4158293008804321
1574810894.6641393,2486,1.428453803062439
1574810932.0212603,4492,1.2827467918395996
1574810943.942122,5134,1.3084007501602173
1574810972.934601,6711,1.2986031770706177
1574810985.7928972,7463,1.262882947921753
1574811019.0427458,9260,1.2705669403076172
1574811022.9515078,9468,1.2140802145004272
1574811049.952797,10905,1.2876662015914917
1574811050.5942163,10966,1.1986892223358154
1574811069.8004346,11969,1.2791862487792969
1574811110.701824,14294,1.2744210958480835
1574811119.601132,14779,1.224206805229187
1574811145.2394552,16116,1.2233272790908813
1574811208.7821734,19640,1.191884160041809
1574811216.6880124,20062,1.2000058889389038
1574811226.0428889,20539,1.2194312810897827
1574811226.6354115,20578,1.2141271829605103
1574811232.3272402,20855,1.1861082315444946
1574811241.763053,21319,1.2024705410003662
1574811261.2637353,22330,1.2380062341690063
1574811288.5318463,23701,1.1959807872772217
1574811296.8675914,24147,1.2208952903747559
1574811300.5106936,24322,1.2137303352355957
1574811308.3143551,24727,1.1738002300262451
1574811318.349924,25253,1.1841580867767334
1574811404.146424,29829,1.1733628511428833
1574811419.4131942,30612,1.2188479900360107
1574811421.2540793,30706,1.1811058521270752
1574811444.8632972,31936,1.216820478439331
1574811454.47927,32435,1.141132116317749
1574811468.6663504,33181,1.1514135599136353
1574811479.8150923,33749,1.1363236904144287
1574811480.3186414,33785,1.2080553770065308
1574811481.5849538,33839,1.178337574005127
1574811494.8504856,34525,1.1841635704040527
1574811522.2826176,35953,1.1937850713729858
1574811534.179879,36629,1.2144337892532349
1574811534.5214052,36659,1.1748894453048706
1574811553.0723777,37764,1.2114770412445068
1574811555.2193224,37876,1.1867059469223022
1574811569.5376883,38720,1.1372921466827393
1574811571.5523233,38840,1.2602639198303223
1574811613.232936,41271,1.179002285003662
1574811655.23986,43639,1.151731014251709
1574811661.3887854,43993,1.1349424123764038
1574811664.753543,44200,1.199767827987671
1574811686.3091207,45372,1.2048674821853638
1574811703.465398,46334,1.1382354497909546
1574811704.8351076,46413,1.160246729850769
1574811725.9974415,47744,1.1665066480636597
1574811733.2543747,48181,1.1457905769348145
1574811817.455914,52906,1.235931158065796
1574811835.1126723,53862,1.181270956993103
1574811884.742981,56521,1.129784107208252
1574811923.8473709,58746,1.1482912302017212
1574811950.4697058,60179,1.1677534580230713
1574811956.0791874,60475,1.1883348226547241
1574811987.392076,62139,1.2101243734359741
1574812016.6968243,63671,1.1888929605484009
1574812033.3756342,64521,1.1223934888839722
1574812054.7205477,65643,1.1702706813812256
1574812074.9400904,66787,1.197647213935852
1574812078.9639292,67021,1.186058759689331
1574812085.4847972,67440,1.1179600954055786
1574812115.8257987,69185,1.2141737937927246
1574812138.9394562,70656,1.1617735624313354
1574812152.054706,71428,1.2266407012939453
1574812161.094507,71906,1.1833127737045288
1574812161.6790462,71957,1.1904428005218506
1574812162.840093,72012,1.135029673576355
1574812181.0698876,73009,1.1344311237335205
1574812273.8053975,78208,1.1403464078903198
1574812286.9038732,78920,1.077067255973816
1574812313.156779,80390,1.1304316520690918
1574812317.6503468,80613,1.18446683883667
1574812390.5237405,84601,1.1295318603515625
1574812399.1906216,85089,1.1228975057601929
1574812431.1523962,86780,1.1190627813339233
1574812432.7931607,86865,1.1305841207504272
1574812435.5163052,87008,1.181402325630188
1574812442.4244597,87393,1.1885572671890259
1574812455.4785905,88137,1.138700008392334
1574812464.4346344,88674,1.1415581703186035
1574812476.326243,89347,1.1032854318618774
